mode,lhs,desc,first_seen,last_used,use_count,source,tracked
n,<leader>.dgpd,push dotfiles,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:382,y
i,<a-s-l>,telescope|smart_add_to_loclist + open_loclist,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/luasnip.lua:83,y
s,<a-s-l>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/luasnip.lua:83,y
i,<a-n>,telescope|preview_scrolling_down,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<leader>.dgpw,push wiki,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:383,y
i,<2-LeftMouse>,telescope|double_mouse_click,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,n
n,<leader>gw,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:112,y
n,<c-p>,,2026-05-17T19:52:48Z,2026-05-17T20:29:55Z,3,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:35,y
i,<M-S-]>,[copilot] dismiss suggestion,2026-05-17T19:59:40Z,,0,...share/nvim/lazy/copilot.lua/lua/copilot/keymaps/init.lua:96,n
n,<c-g>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:37,y
i,?,telescope|which_key,2026-05-17T19:52:48Z,2026-05-17T20:22:50Z,1,/home/kanon/.config/nvim/lua/keybindings/init.lua:78,y
n,<a-r>,,2026-05-17T19:52:48Z,2026-05-17T20:25:45Z,4,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:51,y
i,<M-k>,telescope|results_scrolling_right,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<a-s-r>,,2026-05-17T19:52:48Z,2026-05-17T20:25:47Z,1,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:59,y
v,gA,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/ai.lua:21,y
n,<a-c-r>,Telescope fuzzy,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:64,y
n,L,telescope|move_to_bottom,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<localleader>i,Inspect Plugin,2026-05-17T20:24:14Z,,0,....local/share/nvim/lazy/lazy.nvim/lua/lazy/view/float.lua:256,y
i,<C-f>,telescope|preview_scrolling_left,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<a-w>,Telescope fuzzy,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:72,y
n,<leader>.st,terminal instance in current folder,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:389,y
n,<c-b>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:80,y
n,?,telescope|which_key,2026-05-17T20:14:33Z,2026-05-17T20:15:48Z,2,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<backspace>.la,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:324,y
i,<C-r><C-a>,telescope|insert_original_cWORD,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,sz,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:86,y
i,<Up>,telescope|move_selection_previous,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<backspace>.vv,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:325,y
i,<c-v>,telescope|select_vertical,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<leader>Tj,builtin.jumplist,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:89,y
x,<leader>lj,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:243,y
n,<backspace>.vA,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:326,y
i,<M-CR>,[copilot] (panel) open,2026-05-17T19:59:40Z,,0,...l/share/nvim/lazy/copilot.lua/lua/copilot/panel/init.lua:553,y
n,<leader>TL,builtin.loclist,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:90,y
n,<backspace>.X,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:339,y
x,u,Update a plugin. This will also update the lockfile,2026-05-17T20:24:14Z,,0,....local/share/nvim/lazy/lazy.nvim/lua/lazy/view/float.lua:256,y
n,<leader><leader>s,Start _,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:408,y
n,gx,,2026-05-17T20:24:14Z,,0,.../.local/share/nvim/lazy/lazy.nvim/lua/lazy/view/init.lua:90,y
i,<a-s-u>,telescope|cycle_history_next,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
i,<PageUp>,telescope|results_scrolling_up,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<leader><leader>S,Start! _,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:409,y
